filepath,relative_path,device_type,damage_status,top_level_folder,has_damage_label,has_device_type_label,device_type_label_source,is_defect_folder,is_standard_device_image,is_defect_challenge,is_augmented,source_relative_path
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1.png,device 2/1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1.png,device 2/1_1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/1_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2.png,device 2/2.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_1.png,device 2/2_1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/2_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3.png,device 2/3.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/3.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_1.png,device 2/3_1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/3_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device1\1.png,device1/1.png,device1,Not-Damaged,device1,True,True,folder-or-metadata,False,True,False,False,device1/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device1\2.png,device1/2.png,device1,Not-Damaged,device1,True,True,folder-or-metadata,False,True,False,False,device1/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_aug_001.jpg,device 2/1_aug_001.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1_aug_002.jpg,device 2/1_1_aug_002.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_aug_003.jpg,device 2/2_aug_003.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_1_aug_004.jpg,device 2/2_1_aug_004.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_aug_005.jpg,device 2/3_aug_005.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_1_aug_006.jpg,device 2/3_1_aug_006.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_aug_007.jpg,device 2/1_aug_007.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1_aug_008.jpg,device 2/1_1_aug_008.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_aug_009.jpg,device 2/2_aug_009.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_1_aug_010.jpg,device 2/2_1_aug_010.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_aug_011.jpg,device 2/3_aug_011.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_1_aug_012.jpg,device 2/3_1_aug_012.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_aug_013.jpg,device 2/1_aug_013.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1_aug_014.jpg,device 2/1_1_aug_014.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_aug_015.jpg,device 2/2_aug_015.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_1_aug_016.jpg,device 2/2_1_aug_016.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_aug_017.jpg,device 2/3_aug_017.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_1_aug_018.jpg,device 2/3_1_aug_018.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_aug_019.jpg,device 2/1_aug_019.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1_aug_020.jpg,device 2/1_1_aug_020.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_aug_021.jpg,device 2/2_aug_021.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_1_aug_022.jpg,device 2/2_1_aug_022.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_aug_023.jpg,device 2/3_aug_023.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_1_aug_024.jpg,device 2/3_1_aug_024.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_aug_025.jpg,device 2/1_aug_025.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1_aug_026.jpg,device 2/1_1_aug_026.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_aug_027.jpg,device 2/2_aug_027.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\2_1_aug_028.jpg,device 2/2_1_aug_028.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/2_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_aug_029.jpg,device 2/3_aug_029.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\3_1_aug_030.jpg,device 2/3_1_aug_030.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3_1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_aug_031.jpg,device 2/1_aug_031.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1.png
C:\Users\k-12outreach\summercamp_josephyup\summer-workshop-josephyup\Augmented_Device_Images\device 2\1_1_aug_032.jpg,device 2/1_1_aug_032.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/1_1.png
